index	centeredness
3	1.0
4	0.94
5	0.61
6	0.81
7	0.51
8	0.84
9	0.72
10	0.48
11	0.63
12	0.21
13	0.62
14	0.37
15	0.61
16	0.49
17	0.22
18	0.35
19	0.33
20	0.24
21	0.2
22	0.16
25	0.95
26	1.0
27	0.83
28	0.74
29	0.49
30	0.2
31	0.5
32	0.49
33	0.26
34	0.22
35	0.17
36	0.1
37	0.08
38	0.01
39	0.03
40	0.0
41	0.01
42	0.0
43	0.0
44	0.0
