index	centeredness
3	1.0
4	0.9
5	0.7
6	0.9
7	0.7
8	0.9
9	0.7
10	0.7
11	0.6
12	0.6
13	0.6
14	0.6
15	0.8
16	0.7
17	0.7
18	0.7
19	0.6
20	0.6
21	0.6
22	0.5
25	0.9
26	1.0
27	0.8
28	0.8
29	0.8
30	0.5
31	0.7
32	0.7
33	0.5
34	0.5
35	0.3
36	0.2
37	0.2
38	0.1
39	0.1
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
