point	density_error	gradient_error
1	4.3655745685100555e-11	1.7029849665683094e-7
2	3.637978807091713e-11	6.517145031118474e-8
3	2.1827872842550278e-11	1.9312744968853815e-7
4	3.637978807091713e-12	1.0522305180555382e-7
5	2.1827872842550278e-11	1.4518799267702093e-7
6	2.9103830456733704e-11	1.7509483935946802e-7
7	2.1827872842550278e-11	1.0238166115582099e-7
8	2.9103830456733704e-11	1.0068005526620967e-7
