coordinate	c
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	0.8
7	1.0
8	0.9
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	0.9
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	0.9
30	0.9
31	0.9
32	0.9
33	0.9
34	1.0
35	0.9
36	0.9
37	0.6
38	0.7
39	1.0
40	0.8
