panel	row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1	10000	9509	0.975	0.09707570293357878	0.22812703622229447	-0.6332824667037039	-0.2146421241042802
1	2	1	10000	9505	0.975	0.09707570293357878	0.22812703622229447	-0.7637437972410394	-0.13101295325461573
1	3	1	10000	9505	0.975	0.09707570293357878	0.22812703622229447	-0.17145412277216648	0.35660691936639793
1	4	1	10000	9510	0.975	0.09707570293357878	0.22812703622229447	-0.14645220743685441	0.33755512566596607
1	1	2	10000	9515	0.975	0.5403688538174656	1.7775691166591827	-0.6332824667037039	-0.2146421241042802
1	2	2	10000	9511	0.975	0.5403688538174656	1.7775691166591827	-0.7637437972410394	-0.13101295325461573
1	3	2	10000	9502	0.975	0.5403688538174656	1.7775691166591827	-0.17145412277216648	0.35660691936639793
1	4	2	10000	9506	0.975	0.5403688538174656	1.7775691166591827	-0.14645220743685441	0.33755512566596607
2	1	1	10000	9505	0.975	0.15048778080495853	0.4075710503228361	-2.3518886516635265	-1.5034652335912118
2	2	1	10000	9506	0.975	0.15048778080495853	0.4075710503228361	-1.464952637640591	-0.048119582704371326
2	3	1	10000	9502	0.975	0.15048778080495853	0.4075710503228361	-2.1872096736995434	2.3817121414571214
2	4	1	10000	9505	0.975	0.15048778080495853	0.4075710503228361	-2.2369676262423854	2.1708211433100733
2	1	2	10000	9515	0.975	1.0311174403703767	4.592165838506012	-2.3518886516635265	-1.5034652335912118
2	2	2	10000	9515	0.975	1.0311174403703767	4.592165838506012	-1.464952637640591	-0.048119582704371326
2	3	2	10000	9504	0.975	1.0311174403703767	4.592165838506012	-2.1872096736995434	2.3817121414571214
2	4	2	10000	9505	0.975	1.0311174403703767	4.592165838506012	-2.2369676262423854	2.1708211433100733
