panel	row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1	10000	9560	0.975	0.09766187669243595	0.22689721886983835	-1.5805126029954712	-0.24412113178886968
1	2	1	10000	9534	0.975	0.09766187669243595	0.22689721886983835	-1.6455805284385958	-0.13832872692518447
1	3	1	10000	9513	0.975	0.09766187669243595	0.22689721886983835	-1.3462408043145457	2.4304783217695234
1	4	1	10000	9504	0.975	0.09766187669243595	0.22689721886983835	-1.355254245983913	2.5593401851007647
1	1	2	10000	9586	0.975	0.5408339211930677	1.759441948479798	-1.5805126029954712	-0.24412113178886968
1	2	2	10000	9551	0.975	0.5408339211930677	1.759441948479798	-1.6455805284385958	-0.13832872692518447
1	3	2	10000	9511	0.975	0.5408339211930677	1.759441948479798	-1.3462408043145457	2.4304783217695234
1	4	2	10000	9505	0.975	0.5408339211930677	1.759441948479798	-1.355254245983913	2.5593401851007647
2	1	1	10000	9560	0.975	0.14635160669342512	0.4059204823121608	-2.572749542625074	-0.46619199104235837
2	2	1	10000	9519	0.975	0.14635160669342512	0.4059204823121608	-1.4800404660902104	-0.006510594638700707
2	3	1	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-2.0444194983310804	2.2721274487973657
2	4	1	10000	9504	0.975	0.14635160669342512	0.4059204823121608	-2.2023775006717043	2.1832417315866905
2	1	2	10000	9651	0.975	1.0309675382725123	4.531173967738242	-2.572749542625074	-0.46619199104235837
2	2	2	10000	9540	0.975	1.0309675382725123	4.531173967738242	-1.4800404660902104	-0.006510594638700707
2	3	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.0444194983310804	2.2721274487973657
2	4	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.2023775006717043	2.1832417315866905
