point	source_value	brm_value	transformed_brm_value	density_absolute_error	max_gradient_absolute_error
1	-47.138408127512236	-43.93840812751223	-47.138408127512236	0.0	8.881784197001252e-16
2	-48.34311294756847	-43.94311294756847	-48.34311294756847	0.0	5.551115123125783e-17
3	-49.35478351504645	-43.75478351504645	-49.35478351504645	0.0	1.7763568394002505e-15
4	-50.458116275020096	-43.65811627502009	-50.45811627502009	7.105427357601002e-15	5.551115123125783e-17
5	-51.49414603075001	-43.49414603075001	-51.49414603075001	0.0	8.881784197001252e-16
6	-52.42877755333623	-43.22877755333623	-52.42877755333623	0.0	8.881784197001252e-16
7	-53.53065219868534	-43.13065219868534	-53.53065219868534	0.0	2.7755575615628914e-17
8	-54.80021464096185	-43.200214640961846	-54.80021464096185	0.0	8.326672684688674e-17
