school	centeredness	loss	admissible
1	0.0	-0.0018026569216382923	true
1	0.01	-0.0018196985687918285	true
1	0.02	-0.0015301328414946015	true
1	0.03	-0.0009446067744650552	true
1	0.04	-7.30627472351475e-5	true
1	0.05	0.0010752024161176169	true
1	0.06	0.0024914834691408053	true
1	0.07	0.004167617514107845	true
1	0.08	0.006095939156645719	true
1	0.09	0.008269239691191643	true
1	0.1	0.010680729980840145	true
1	0.11	0.013324006713730352	true
1	0.12	0.016193021738029376	true
1	0.13	0.01928205419809091	true
1	0.14	0.022585685214904033	true
1	0.15	0.02609877487408281	true
1	0.16	0.029816441304108682	true
1	0.17	0.033734041646078655	true
1	0.18	0.03784715473372677	true
1	0.19	0.04215156531889344	true
1	0.2	0.0466432496928626	true
1	0.21	0.05131836256810782	true
1	0.22	0.056173225097962215	true
1	0.23	0.06120431392363607	true
1	0.24	0.06640825114886714	true
1	0.25	0.07178179515238609	true
1	0.26	0.07732183215735558	true
1	0.27	0.08302536848508515	true
1	0.28	0.08888952342766493	true
1	0.29	0.0949115226808061	true
1	0.3	0.10108869228414027	true
1	0.31	0.10741845302161865	true
1	0.32	0.1138983152394652	true
1	0.33	0.12052587404348741	true
1	0.34	0.1272988048414242	true
1	0.35	0.13421485919950155	true
1	0.36	0.14127186098548045	true
1	0.37	0.14846770277327415	true
1	0.38	0.15580034248671465	true
1	0.39	0.1632678002622741	true
1	0.4	0.17086815551255363	true
1	0.41	0.17859954417413082	true
1	0.42	0.18646015612496397	true
1	0.43	0.19444823275796574	true
1	0.44	0.20256206469865518	true
1	0.45	0.21079998965592328	true
1	0.46	0.21916039039598006	true
1	0.47	0.2276416928304636	true
1	0.48	0.23624236421051298	true
1	0.49	0.244960911419343	true
1	0.5	0.2537958793565148	true
1	0.51	0.2627458494076931	true
1	0.52	0.27180943799420937	true
1	0.53	0.2809852951972288	true
1	0.54	0.29027210345175064	true
1	0.55	0.2996685763060555	true
1	0.56	0.3091734572425685	true
1	0.57	0.31878551855641674	true
1	0.58	0.32850356028824956	true
1	0.59	0.3383264092081449	true
1	0.6	0.34825291784766205	true
1	0.61	0.35828196357731334	true
1	0.62	0.36841244772691745	true
1	0.63	0.3786432947464782	true
1	0.64	0.3889734514053884	true
1	0.65	0.3994018860279105	true
1	0.66	0.40992758776301175	true
1	0.67	0.4205495658867646	true
1	0.68	0.4312668491356285	true
1	0.69	0.44207848506903513	true
1	0.7	0.4529835394597982	true
1	0.71	0.4639810957109496	true
1	0.72	0.4750702542976961	true
1	0.73	0.4862501322332563	true
1	0.74	0.49751986255740976	true
1	0.75	0.5088785938466656	true
1	0.76	0.5203254897449995	true
1	0.77	0.5318597285141826	true
1	0.78	0.5434805026027677	true
1	0.79	0.5551870182328511	true
1	0.8	0.5669784950037737	true
1	0.81	0.578854165511969	true
1	0.82	0.5908132749862038	true
1	0.83	0.6028550809375002	true
1	0.84	0.6149788528230528	true
1	0.85	0.6271838717235082	true
1	0.86	0.6394694300329804	true
1	0.87	0.651834831161226	true
1	0.88	0.6642793892474234	true
1	0.89	0.6768024288850242	true
1	0.9	0.6894032848571781	true
1	0.91	0.7020813018822469	true
1	0.92	0.7148358343689553	true
1	0.93	0.7276662461807408	true
1	0.94	0.7405719104088907	true
1	0.95	0.7535522091540647	true
1	0.96	0.7666065333158364	true
