arm	max_mean_difference_mcse	largest_difference	quantities_above_3mcse	invariant_min_ess	invariant_relative_sampling	invariant_relative_total
ordinary_ncp_native	1.5804276500985674	region_1_total_intercept	0	456.17762734351896	1.0	1.0
ordinary_ncp_whmc	4.521252292421907	group_sd_1	1	85.52141300825332	1.4061916967667425	1.798739572151719
s2z_auto_native	1.329166431132123	residual_sd	0	1031.291624319046	29.426111521139468	21.87295439235081
s2z_auto_whmc	1.4189453142598671	region_6_total_intercept	0	1326.9608632682148	140.14060960586244	176.22392899540517
s2z_cp_native	1.5190362132876785	region_5_total_intercept	0	816.465449223882	19.835289723277477	16.14122104128404
s2z_cp_whmc	1.8516102273041424	region_5_total_intercept	0	2423.7682715583205	293.9598318200979	350.8098566370047
s2z_ncp_native	0.7944137448075516	region_6_total_intercept	0	244.5936874341249	1.0935512665150486	0.9426334969249829
s2z_ncp_whmc	5.885399261494012	group_sd_1	1	68.59472929037197	4.190109568304469	4.772532030805442
total_cp	0.0	population_intercept_at_mean_log_sat	0	1058.352499675998	128.57284484417886	153.70930199945502
total_ncp	1.4605620785097213	group_sd_1	0	101.01501395708598	3.2545239097586056	3.7343555127762014
total_online_gradient	2.3538859578193727	region_5_total_intercept	0	830.2951807827999	98.98716844779773	118.56611804239338
total_online_position	2.3538859578193727	region_5_total_intercept	0	830.2951807827999	98.98716844779773	118.56611804239338
total_posthoc_gradient	0.0	population_intercept_at_mean_log_sat	0	1058.352499675998	128.57284484417886	31.187084119982682
total_posthoc_position	0.0	population_intercept_at_mean_log_sat	0	1058.352499675998	128.57284484417886	31.187084119982682
