panel	column	draw	log_group_sd	coordinate
1: region 6 intercept, rho=0.99	2. NCP	21	-0.7372189183001541	1.1776749579481771
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	21	-0.7372189183001541	0.5673498240067851
1: region 6 intercept, rho=0.99	1. CP	22	-0.4408167283996229	0.7648500023654674
1: region 6 intercept, rho=0.99	2. NCP	22	-0.4408167283996229	1.1885584528911075
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	22	-0.4408167283996229	0.7677083850453289
1: region 6 intercept, rho=0.99	1. CP	23	-0.34290597041273013	0.5546003278476014
1: region 6 intercept, rho=0.99	2. NCP	23	-0.34290597041273013	0.781451974295657
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	23	-0.34290597041273013	0.5559925245944562
1: region 6 intercept, rho=0.99	1. CP	24	-0.3571720786794554	0.70948030069524
1: region 6 intercept, rho=0.99	2. NCP	24	-0.3571720786794554	1.014047279552331
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	24	-0.3571720786794554	0.7115180608162217
1: region 6 intercept, rho=0.99	1. CP	25	0.028279954227458545	0.7680607424597834
1: region 6 intercept, rho=0.99	2. NCP	25	0.028279954227458545	0.7466442754816753
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	25	0.028279954227458545	0.7679140165006907
1: region 6 intercept, rho=0.99	1. CP	26	-0.4915879394863091	0.6482199992708724
1: region 6 intercept, rho=0.99	2. NCP	26	-0.4915879394863091	1.059781552443208
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	26	-0.4915879394863091	0.6508210763512499
1: region 6 intercept, rho=0.99	1. CP	27	-0.33490257601680695	0.5627232426142023
1: region 6 intercept, rho=0.99	2. NCP	27	-0.33490257601680695	0.7865769113649488
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	27	-0.33490257601680695	0.5641745950700863
1: region 6 intercept, rho=0.99	1. CP	28	-1.1169007414129117	0.5770370151252914
1: region 6 intercept, rho=0.99	2. NCP	28	-1.1169007414129117	1.7630616610558256
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	28	-1.1169007414129117	0.5845943097050685
1: region 6 intercept, rho=0.99	1. CP	29	0.08775438751102421	0.6256826595083244
1: region 6 intercept, rho=0.99	2. NCP	29	0.08775438751102421	0.573116448093863
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	29	0.08775438751102421	0.6253407792376828
1: region 6 intercept, rho=0.99	1. CP	30	-0.21526049602654393	0.7065031889118049
1: region 6 intercept, rho=0.99	2. NCP	30	-0.21526049602654393	0.8761945995025079
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	30	-0.21526049602654393	0.7076387424706366
1: region 6 intercept, rho=0.99	1. CP	31	-0.032952600014604275	0.5331998656186964
1: region 6 intercept, rho=0.99	2. NCP	31	-0.032952600014604275	0.5510628876417065
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	31	-0.032952600014604275	0.5333070307309674
1: region 6 intercept, rho=0.99	1. CP	32	-0.19929383619111782	0.5858814547344209
1: region 6 intercept, rho=0.99	2. NCP	32	-0.19929383619111782	0.7150920742861329
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	32	-0.19929383619111782	0.5866892978446282
1: region 6 intercept, rho=0.99	1. CP	33	-0.6631523034044305	0.8266040617660946
1: region 6 intercept, rho=0.99	2. NCP	33	-0.6631523034044305	1.604356658356531
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	33	-0.6631523034044305	0.8320125446460314
1: region 6 intercept, rho=0.99	1. CP	34	0.30570063134061554	0.6742369329847762
1: region 6 intercept, rho=0.99	2. NCP	34	0.30570063134061554	0.49664771430056565
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	34	0.30570063134061554	0.6730818757938749
1: region 6 intercept, rho=0.99	1. CP	35	-0.7412303291951472	0.649318344156322
1: region 6 intercept, rho=0.99	2. NCP	35	-0.7412303291951472	1.3626047993245733
