arm	parameter	mean	mcse	bulk_ess	mean_difference_mcse
ordinary_ncp_native	population_intercept_at_mean_log_sat	3.461614762862278	0.015211543281412488	422.41566775175767	0.38636633153213384
ordinary_ncp_native	population_log_sat_slope	0.4274696315883415	0.00022157156772917703	1246.66556954404	0.7431204269561911
ordinary_ncp_native	group_sd_1	0.6959167681714862	0.01323681705538898	456.17762734351896	0.15342045117724018
ordinary_ncp_native	residual_sd	0.3768193874407746	9.011553596131587e-5	1500.071257443944	1.5214605635120033
ordinary_ncp_native	region_1_total_intercept	2.6625363558593897	0.0019282014639909232	1826.8752779295564	1.5804276500985674
ordinary_ncp_native	region_2_total_intercept	1.4496397451987082	0.000522703236749897	1389.504575518305	0.679070140778437
ordinary_ncp_native	region_3_total_intercept	2.2530346974597495	0.0008484489917457831	1374.8995647614445	0.4259945966968121
ordinary_ncp_native	region_4_total_intercept	1.919338480185977	0.0007349179682757127	1603.4344413427643	0.792945417717651
ordinary_ncp_native	region_5_total_intercept	2.282424555610108	0.0007768177056947282	1625.9363596240335	0.40681550048421716
ordinary_ncp_native	region_6_total_intercept	2.92027832834677	0.0025002470135625544	1988.298439431239	0.1073320505778771
ordinary_ncp_whmc	population_intercept_at_mean_log_sat	3.4862754468786634	0.023840770547116343	97.72278057338448	1.249969277701787
ordinary_ncp_whmc	population_log_sat_slope	0.42773331825709315	0.00021041637183666365	1756.3785860477615	0.061635897253880134
ordinary_ncp_whmc	group_sd_1	0.610685822246812	0.01791832850090655	85.52141300825332	4.521252292421907
ordinary_ncp_whmc	residual_sd	0.376587281510997	8.523431615361932e-5	1532.9378518128806	0.6981339856700545
ordinary_ncp_whmc	region_1_total_intercept	2.664383276284704	0.0018150674338621696	1895.0749286358252	0.8485921758362199
ordinary_ncp_whmc	region_2_total_intercept	1.4493928206696658	0.0005140274719257886	1795.4485375517118	0.34656045090319476
ordinary_ncp_whmc	region_3_total_intercept	2.252270918817253	0.0008171500495163945	1829.6488760237169	0.15590765763852593
ordinary_ncp_whmc	region_4_total_intercept	1.917608718510975	0.000742317803309741	1921.6271861036898	0.8674487952343385
ordinary_ncp_whmc	region_5_total_intercept	2.282012016406264	0.0008581438387590093	1555.9876439296816	0.028335413303345706
ordinary_ncp_whmc	region_6_total_intercept	2.917233950875249	0.0027245530431431217	1483.5353337893855	0.9952379455240998
s2z_auto_native	population_intercept_at_mean_log_sat	3.4541286650672762	0.006930004213531089	1851.4234571713844	0.09447048115539255
s2z_auto_native	population_log_sat_slope	0.4277973372731142	0.00017815523102535655	2143.086729830095	0.27871980053231493
s2z_auto_native	group_sd_1	0.6994413270394946	0.0086303239034511	2345.8754826056097	0.1060854982917713
s2z_auto_native	residual_sd	0.37677757592816363	7.045394992142895e-5	2495.3747417290106	1.329166431132123
s2z_auto_native	region_1_total_intercept	2.665876085521908	0.002455137621951249	1031.291624319046	0.16985600566614237
s2z_auto_native	region_2_total_intercept	1.4490704053588055	0.0004496372263845904	2038.410603411203	0.10112344842988653
s2z_auto_native	region_3_total_intercept	2.2523043898232347	0.0007313192385532501	2069.277332242871	0.1355780684058234
s2z_auto_native	region_4_total_intercept	1.918065821994207	0.0006080235876801179	2443.920402946997	0.4706380429661706
s2z_auto_native	region_5_total_intercept	2.2811055935810645	0.0006755487922153659	2264.113151779169	0.852407191510043
s2z_auto_native	region_6_total_intercept	2.9194581227539884	0.002561991548885885	1745.5250158571473	0.35591114470236423
s2z_auto_whmc	population_intercept_at_mean_log_sat	3.4525252542664004	0.0072973098638832706	1842.422901763721	0.2467588622065719
s2z_auto_whmc	population_log_sat_slope	0.4274827480188765	0.00015219754127862288	2870.0522769592317	0.8069419468393639
s2z_auto_whmc	group_sd_1	0.7027286455734134	0.009690279980868802	1404.1195193252458	0.36924186937441167
