coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	0.99
6	0.98
7	0.99
8	0.96
9	1.0
10	0.87
11	1.0
12	1.0
13	1.0
14	1.0
15	0.96
16	0.99
17	0.98
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	0.98
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	0.87
31	0.91
32	0.82
33	0.92
34	0.95
35	1.0
36	0.83
37	0.66
38	0.64
39	0.9
40	0.72
